Section,Year,month,Amount,Number of people,average
SL-IW,2025,2,93840,8,11730
SL-IW,2025,3,99660,8,12457.5
SL-IW,2025,4,60000,8,7500
SL-IW,2025,5,140070,8,17508.75
SL-IW,2025,6,105380,8,13172.5
AS-EW,2025,1,28875,2,14437.5
AS-EW,2025,2,28875,2,14437.5
AS-EW,2025,3,29673.75,3,9891.25
AS-EW,2025,4,30688.5,3,10229.5
AS-EW,2025,5,33521.4,3,11173.8
AS-EW,2025,6,30674.85,3,10224.95
AS-IW,2025,1,113041.17,7,16148.73857
AS-IW,2025,2,78900,7,11271.42857
AS-IW,2025,3,123214.09,7,17602.01286
AS-IW,2025,4,115161.33,7,16451.61857
AS-IW,2025,5,112299.44,8,14037.43
AS-IW,2025,6,141912.05,7,20273.15
Forklift,2025,1,46720,3,15573.33333
Forklift,2025,2,28800,3,9600
Forklift,2025,3,54400,3,18133.33333
Forklift,2025,4,28800,3,9600
Forklift,2025,5,44800,3,14933.33333
Forklift,2025,6,53120,3,17706.66667
EE,2025,1,34710,2,17355
EE,2025,2,23400,2,11700
EE,2025,3,33800,2,16900
EE,2025,4,23400,2,11700
EE,2025,5,39520,2,19760
EE,2025,6,40040,2,20020
SL-EW,2025,1,33821.82,2,16910.91
SL-EW,2025,2,27306,2,13653
SL-EW,2025,3,38859.84,2,19429.92
SL-EW,2025,4,36826.2,2,18413.1
SL-EW,2025,5,40225.68,2,20112.84
SL-EW,2025,6,36809.82,2,18404.91
